Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
337,AA4UT,443.000000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Knoxville,,,,
338,AK4EZ,442.950000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Morristown,,,,
339,KA4ELN,442.400000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Cleveland,,,,
340,KA4ELN,444.800000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,"Benton, Chilhowee  Mountain",,,,
341,KB4PNG,444.550000,+,5.000000,Tone,77.0,88.5,023,NN,FM,5.00,,Caryville,,,,
342,KB4REC,444.175000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,Knoxville,,,,
343,KE4FGW,444.825000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Maryville,,,,
344,KE4KQI,442.450000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Sneedville,,,,
345,K4JFT,443.600000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Madisonville,,,,
346,N2UGA,442.925000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"Newport, Halls Top",,,,
347,W1BEW,441.825000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Maryville,,,,
348,W4KEV,444.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Knoxville,,,,
349,W4KEV,444.900000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Gatlinburg, Ski Mountain",,,,
350,W4LDG,444.475000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Morristown,CQCQCQ,,,0
351,W4WC,443.200000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Greeneville, Camp Creek Bald Mtn",,,,
352,KG4FZR,443.275000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Decatur,,,,
353,W4KEV,440.550000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Knoxville, Sharps Ridge",,,,
354,W4KEV,443.225000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Sevierville,,,,
355,WA4FLH,443.250000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,"Knoxville, Sharp's Ridge",,,,
356,KF4DKW,444.250000,+,5.000000,Tone,127.3,127.3,023,NN,Auto,5.00,,Lenoir City,,,,
357,KK4DKW,444.775000,+,5.000000,Tone,94.8,94.8,023,NN,FM,5.00,,Maryville,,,,
358,AJ4G,442.575000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Jonesville,,,,
359,KK4XA,444.075000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Alocoa, Chilhowee Mountain",,,,
360,KI4OTR,441.850000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,Greeneville,,,,
361,W4BSF,444.387500,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Oneida,CQCQCQ,,,0
362,KD4CWB,443.500000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Seymour, Greentop",,,,
363,KD4CWB,443.800000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Dupont Springs, Greentop",,,,
364,KD4CWB,443.075000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Dupont Springs, Greentop",,,,
365,KE4RX,443.975000,+,5.000000,Tone,110.9,110.9,023,NN,Auto,5.00,,"Rockwood, Mt Roosevelt",,,,
366,W4WVJ,443.050000,+,5.000000,Tone,100.0,100.0,023,NN,Auto,5.00,,"Lenoir City, Greenback Community",,,,
367,WA4ROB,442.850000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,"Cumberland Gap , Kentucky border",,,,
368,W4KEV,442.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Knoxville, WJXB Tower",,,,
369,KK4GGK,442.075000,+,5.000000,Tone,110.9,110.9,023,NN,Auto,5.00,,"Dayton, Lone Mountain",,,,
370,K4ETN,444.750000,+,5.000000,,88.5,88.5,023,NN,Auto,5.00,,"Greeneville, Round Knob Mountain",,,,
371,KD4CWB,444.000000,+,5.000000,Tone,100.0,100.0,023,NN,Auto,5.00,,"Dupont Springs, Green Top Mtn",,,,
372,W4TWX,444.875000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Rosman,,,,
